trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-32.8121945942425,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-67.89241461915543,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.985}",35,0,-197.9267957604825,"{0: 24, 1: 1, 2: 6, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.98}",25,0,-165.8364892832362,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-107.43344821339545,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-119.11288493943297,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.965}",25,0,-127.0546368237643,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-108.30382518669896,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.955}",30,0,-204.33503802989654,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.95}",25,0,-254.93962741318518,"{0: 12, 1: 2, 2: 4, 3: 3, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-118.78947933011392,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.94}",30,0,-187.35165488122738,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-152.4996450313088,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-157.83918133119047,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",25,0,-87.81460922958978,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-63.69486194646011,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-69.45710660575928,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-67.57534730902141,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",25,0,-141.45760532237355,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
