trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.495, 'e': 0.99}",20,0,-182.13320448830441,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.49005, 'e': 0.9801}",20,0,-37.49332187416781,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.4851495, 'e': 0.970299}",20,0,-106.0170639999629,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.480298005, 'e': 0.96059601}",25,0,-35.53860539835755,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.47549502494999996, 'e': 0.9509900498999999}",30,0,-107.2112315743293,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.4707400747005, 'e': 0.941480149401}",20,0,-152.91687427910102,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
7,False,"{'a': 0.46603267395349496, 'e': 0.9320653479069899}",20,0,-113.41666142839325,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.46137234721396003, 'e': 0.9227446944279201}",20,0,-6.355173832955554,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.4567586237418204, 'e': 0.9135172474836408}",20,0,-266.5202118730226,"{0: 8, 1: 1, 2: 5, 3: 1, 4: 5}",0
10,False,"{'a': 0.4521910375044022, 'e': 0.9043820750088044}",20,0,-130.50676002780304,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
11,False,"{'a': 0.4476691271293582, 'e': 0.8953382542587164}",25,0,-91.62064577307865,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.4431924358580646, 'e': 0.8863848717161292}",20,0,-54.032389318955595,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.4387605114994839, 'e': 0.8775210229989678}",20,0,-51.601104336051776,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.4343729063844891, 'e': 0.8687458127689782}",20,0,-110.26969518561017,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.4300291773206442, 'e': 0.8600583546412884}",25,0,-136.25101182526734,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
16,False,"{'a': 0.42572888554743776, 'e': 0.8514577710948755}",25,0,-134.99198653372318,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.4214715966919634, 'e': 0.8429431933839268}",25,0,-179.5670662191615,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
18,False,"{'a': 0.41725688072504374, 'e': 0.8345137614500875}",25,0,-65.70726507222574,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.4130843119177933, 'e': 0.8261686238355866}",20,0,-69.19079945242919,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.4089534687986154, 'e': 0.8179069375972308}",30,0,-42.448565471335726,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
21,False,"{'a': 0.4048639341106292, 'e': 0.8097278682212584}",20,0,-24.738775195645715,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.40081529476952293, 'e': 0.8016305895390459}",20,0,-53.93216736818743,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.3968071418218277, 'e': 0.7936142836436554}",25,0,-40.10402989922501,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
24,False,"{'a': 0.3928390704036094, 'e': 0.7856781408072188}",30,7,-310.4445696798435,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 7}",1
25,False,"{'a': 0.3889106796995733, 'e': 0.7778213593991467}",35,0,-47.64946593166159,"{0: 28, 1: 4, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.38502157290257755, 'e': 0.7700431458051551}",20,0,-161.70309064850883,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
27,False,"{'a': 0.3811713571735518, 'e': 0.7623427143471035}",25,17,-7.965901735718421,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.3773596436018163, 'e': 0.7547192872036326}",20,10,-39.00085642177191,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.3735860471657981, 'e': 0.7471720943315961}",25,0,-113.66033886259727,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
30,False,"{'a': 0.3698501866941401, 'e': 0.7397003733882802}",20,13,-36.483860437487664,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
31,False,"{'a': 0.36615168482719873, 'e': 0.7323033696543975}",20,2,-52.07277927122013,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 0}",1
32,False,"{'a': 0.3624901679789267, 'e': 0.7249803359578534}",30,5,-87.08168677867047,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",1
33,False,"{'a': 0.35886526629913745, 'e': 0.7177305325982749}",25,0,-163.8004024566223,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
34,False,"{'a': 0.35527661363614604, 'e': 0.7105532272722921}",20,11,-23.66980528196864,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
35,False,"{'a': 0.3517238474997846, 'e': 0.7034476949995692}",20,0,-39.97239537571165,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
36,False,"{'a': 0.34820660902478673, 'e': 0.6964132180495735}",20,0,-43.74966627656144,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
37,False,"{'a': 0.34472454293453886, 'e': 0.6894490858690777}",25,0,-182.03781438343503,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
38,False,"{'a': 0.3412772975051935, 'e': 0.682554595010387}",25,0,-34.69713660813788,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
39,False,"{'a': 0.33786452453014154, 'e': 0.6757290490602831}",30,0,-156.81210581908124,"{0: 18, 1: 0, 2: 8, 3: 3, 4: 1}",0
40,False,"{'a': 0.33448587928484014, 'e': 0.6689717585696803}",35,0,-119.86843901821864,"{0: 23, 1: 4, 2: 5, 3: 2, 4: 1}",0
41,False,"{'a': 0.33114102049199173, 'e': 0.6622820409839835}",20,0,-121.59860736630476,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
42,False,"{'a': 0.3278296102870718, 'e': 0.6556592205741436}",20,0,-68.08606044969787,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
43,False,"{'a': 0.3245513141842011, 'e': 0.6491026283684022}",25,8,-23.32234457335224,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
44,False,"{'a': 0.32130580104235906, 'e': 0.6426116020847181}",30,0,-127.06352434914663,"{0: 22, 1: 0, 2: 4, 3: 2, 4: 2}",0
45,False,"{'a': 0.31809274303193547, 'e': 0.6361854860638709}",20,0,-9.361812405678595,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
46,False,"{'a': 0.31491181560161613, 'e': 0.6298236312032323}",20,0,-26.006514554459553,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
47,False,"{'a': 0.3117626974456, 'e': 0.6235253948912}",20,6,-79.46585470993382,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
48,False,"{'a': 0.308645070471144, 'e': 0.617290140942288}",30,0,13.440743275462545,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
49,False,"{'a': 0.3055586197664325, 'e': 0.611117239532865}",25,14,-4.264277725473357,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.3025030335687682, 'e': 0.6050060671375364}",20,0,-30.6170594004035,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.2994780032330805, 'e': 0.598956006466161}",20,14,2.0917577150948703,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.2964832232007497, 'e': 0.5929664464014994}",25,0,-86.63908293295982,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.2935183909687422, 'e': 0.5870367819374844}",20,3,-70.15204888416461,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
54,False,"{'a': 0.29058320705905477, 'e': 0.5811664141181095}",25,0,-75.25141709814369,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.28767737498846424, 'e': 0.5753547499769285}",20,12,-4.331931185049036,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.2848006012385796, 'e': 0.5696012024771592}",25,0,-43.39919334304411,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
57,False,"{'a': 0.28195259522619376, 'e': 0.5639051904523875}",20,6,-26.22355704630217,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
58,False,"{'a': 0.27913306927393183, 'e': 0.5582661385478637}",20,0,-29.79546151514215,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
59,False,"{'a': 0.27634173858119254, 'e': 0.5526834771623851}",20,0,-25.79479171101965,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
60,False,"{'a': 0.2735783211953806, 'e': 0.5471566423907612}",20,16,8.805327075979395,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.2708425379834268, 'e': 0.5416850759668536}",25,0,-90.93301333289168,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
62,False,"{'a': 0.2681341126035925, 'e': 0.536268225207185}",25,20,11.03526692510107,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.2654527714775566, 'e': 0.5309055429551132}",25,7,-101.55438856435715,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 2}",1
64,False,"{'a': 0.262798243762781, 'e': 0.525596487525562}",30,5,-30.51686014610749,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",1
65,False,"{'a': 0.2601702613251532, 'e': 0.5203405226503064}",25,0,-69.27411908550175,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
66,False,"{'a': 0.25756855871190165, 'e': 0.5151371174238033}",30,0,-118.33508970422592,"{0: 22, 1: 4, 2: 1, 3: 0, 4: 3}",0
67,False,"{'a': 0.25499287312478264, 'e': 0.5099857462495653}",30,0,-67.09571204775868,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
68,False,"{'a': 0.2524429443935348, 'e': 0.5048858887870696}",20,0,-25.29107331173482,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
69,False,"{'a': 0.24991851494959946, 'e': 0.4998370298991989}",20,0,-66.26663034960859,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
70,False,"{'a': 0.24741932980010348, 'e': 0.49483865960020695}",20,0,-17.237933610088295,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
71,False,"{'a': 0.24494513650210245, 'e': 0.4898902730042049}",20,10,8.7370842694894,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.24249568513708142, 'e': 0.48499137027416284}",20,0,-70.73336520663858,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
73,False,"{'a': 0.2400707282857106, 'e': 0.4801414565714212}",25,14,-2.973610239448893,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.23767002100285348, 'e': 0.47534004200570695}",30,16,-8.771802872089877,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
75,False,"{'a': 0.23529332079282494, 'e': 0.4705866415856499}",20,14,-11.908079558191826,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.23294038758489669, 'e': 0.46588077516979337}",25,7,-31.956508967327746,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 0}",1
77,False,"{'a': 0.23061098370904773, 'e': 0.46122196741809546}",30,16,1.2909771185139687,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
78,False,"{'a': 0.22830487387195725, 'e': 0.4566097477439145}",20,0,-132.6818901625629,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
79,False,"{'a': 0.22602182513323768, 'e': 0.45204365026647536}",25,18,9.870507585800627,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.2237616068819053, 'e': 0.4475232137638106}",25,4,-65.0007787741614,"{0: 15, 1: 1, 2: 2, 3: 3, 4: 0}",1
81,False,"{'a': 0.22152399081308624, 'e': 0.4430479816261725}",35,3,-67.66768712325717,"{0: 25, 1: 0, 2: 5, 3: 1, 4: 1}",1
82,False,"{'a': 0.21930875090495539, 'e': 0.43861750180991077}",20,4,-40.014192664247936,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
83,False,"{'a': 0.21711566339590582, 'e': 0.43423132679181164}",20,15,2.6337733355987156,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.21494450676194676, 'e': 0.4298890135238935}",20,14,-11.971768465765557,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.2127950616943273, 'e': 0.4255901233886546}",20,12,2.6016438939989177,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.210667111077384, 'e': 0.421334222154768}",20,2,7.543855363797466,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.20856043996661017, 'e': 0.41712087993322033}",30,7,-0.38396145897891265,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
88,False,"{'a': 0.20647483556694407, 'e': 0.41294967113388814}",20,0,-23.648489671055074,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.20441008721127463, 'e': 0.40882017442254925}",20,3,-45.21341722655481,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 1}",1
90,False,"{'a': 0.2023659863391619, 'e': 0.4047319726783238}",20,8,-25.230127421954666,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
91,False,"{'a': 0.20034232647577027, 'e': 0.40068465295154054}",25,1,17.164446079624863,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.19833890321101255, 'e': 0.3966778064220251}",20,16,7.802164037939514,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.19635551417890243, 'e': 0.39271102835780486}",35,0,-77.90334711499303,"{0: 28, 1: 1, 2: 3, 3: 2, 4: 1}",0
94,False,"{'a': 0.1943919590371134, 'e': 0.3887839180742268}",30,0,-32.77318719988366,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
95,False,"{'a': 0.19244803944674227, 'e': 0.38489607889348454}",20,10,18.000819470568096,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.19052355905227483, 'e': 0.38104711810454966}",25,10,16.083222133004124,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.18861832346175209, 'e': 0.37723664692350417}",25,2,-86.172782397439,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 1}",1
98,False,"{'a': 0.18673214022713458, 'e': 0.37346428045426916}",25,11,21.888703686591832,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.18486481882486322, 'e': 0.36972963764972644}",20,10,9.0922320807327,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.1830161706366146, 'e': 0.3660323412732292}",20,14,9.736798335164924,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.18118600893024844, 'e': 0.3623720178604969}",25,0,-52.816585692855064,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
102,False,"{'a': 0.17937414884094596, 'e': 0.3587482976818919}",25,20,9.29964511320476,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.1775804073525365, 'e': 0.355160814705073}",20,12,-29.57106037619862,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
104,False,"{'a': 0.17580460327901112, 'e': 0.35160920655802225}",30,20,15.043800485218725,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.174046557246221, 'e': 0.348093114492442}",20,15,-2.06407709719367,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.1723060916737588, 'e': 0.3446121833475176}",20,2,-39.81844623775916,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 0}",1
