trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.010050167084168}",20,0,-132.4088295106181,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0202013400267558}",20,0,-141.30764194436338,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.030454533953517}",35,0,-126.06487672321109,"{0: 25, 1: 2, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0408107741923882}",25,0,-210.16996399748248,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0512710963760241}",20,0,-67.62131732900947,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0618365465453596}",35,0,-123.04895361143862,"{0: 23, 1: 3, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0725081812542165}",30,0,-262.82294497594364,"{0: 15, 1: 4, 2: 4, 3: 3, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0832870676749586}",20,0,-181.97723277583336,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0941742837052104}",25,10,-55.020722142692215,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.1051709180756477}",25,0,-199.84857156275393,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.1162780704588713}",25,0,-60.642821520118545,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.1274968515793757}",25,2,-164.37394325899322,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 3}",1
13,False,"{'a': 0.5, 'e': 1.1388283833246218}",20,0,-108.65560482429991,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.1502737988572274}",25,0,-19.451898047466113,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.161834242728283}",20,12,-41.10724816526771,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.1735108709918103}",20,1,-46.68705276747665,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.1853048513203654}",20,4,-95.63986296424041,"{0: 7, 1: 2, 2: 6, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.1972173631218102}",25,0,-113.89503549046704,"{0: 15, 1: 1, 2: 6, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.2092495976572515}",25,0,-128.1989954328984,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.2214027581601699}",20,9,-56.027171991571436,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.2336780599567432}",20,0,-62.43701690459095,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.2460767305873808}",35,0,-112.51239356933094,"{0: 23, 1: 4, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.2586000099294778}",30,0,-159.06125050079063,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.2712491503214047}",25,0,-176.84192771435687,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.2840254166877414}",20,0,-81.20219106686957,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.2969300866657718}",20,11,-15.418712704764712,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.3099644507332473}",20,0,-79.5647608237613,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.3231298123374369}",25,0,-126.89045970104303,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.336427488025472}",20,0,-138.0002016138656,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.3498588075760032}",25,0,-162.92488427333734,"{0: 13, 1: 2, 2: 5, 3: 4, 4: 1}",0
11,True,"{'a': 0.5, 'e': 1.3634251141321778}",20,0,-130.90805397193407,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
12,True,"{'a': 0.5, 'e': 1.3771277643359572}",20,0,-107.77921950301423,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
